,NATURAL_ACCURACY_W_NSA,ADVERSARIAL_ACCURACY_W_NSA,NATURAL_ACCURACY_WO_NSA,ADVERSARIAL_ACCURACY_WO_NSA,TOTAL_NUM_PER_CLS
Ahead only,1.0,0.8024691358024691,1.0,0.8148148148148148,81
General caution,1.0,0.4567901234567901,1.0,0.4691358024691358,81
Keep right,1.0,0.4855072463768116,1.0,0.5362318840579711,138
No entry,1.0,1.0,1.0,1.0,75
No passing,1.0,0.8585858585858586,1.0,0.8282828282828283,99
No passing veh over 3.5 tons,1.0,0.5925925925925926,1.0,0.8518518518518519,135
No vehicles,1.0,0.14285714285714285,1.0,0.14285714285714285,42
Priority road,1.0,0.851063829787234,1.0,0.8439716312056738,141
Right-of-way at intersection,1.0,0.8777777777777778,1.0,0.9,90
Road work,1.0,0.8725490196078431,1.0,0.8823529411764706,102
Speed limit (100km/h),1.0,0.25,1.0,0.28125,96
Speed limit (120km/h),1.0,0.4583333333333333,1.0,0.6979166666666666,96
Speed limit (30km/h),1.0,0.68,1.0,0.66,150
Speed limit (50km/h),1.0,0.7266666666666667,1.0,0.7333333333333333,150
Speed limit (60km/h),1.0,0.3854166666666667,1.0,0.3645833333333333,96
Speed limit (70km/h),1.0,0.7196969696969697,1.0,0.7424242424242424,132
Speed limit (80km/h),1.0,0.4365079365079365,1.0,0.49206349206349204,126
Stop,1.0,1.0,1.0,1.0,54
Turn right ahead,1.0,0.9375,1.0,0.875,48
Wild animals crossing,1.0,0.5740740740740741,1.0,0.6851851851851852,54
Yield,1.0,0.5486111111111112,1.0,0.6111111111111112,144
OVERALL,1.0,0.6469483568075117,1.0,0.6877934272300469,2130
